Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,
# YTID, start_seconds, end_seconds, positive_labels,,,,,,,,,,
yFNXPZQd0VQ,130,140," ""/m/04rlf",/m/09x0r,"/m/0ytgt""",,,,,,,,
yFNvZNSshFA,580,590," ""/m/09x0r""",,,,,,,,,,
yFNwy_UI6QM,300,310," ""/m/09x0r""",,,,,,,,,,
yFO5BVr18Gc,21,31," ""/m/06_y0by""",,,,,,,,,,
yFO7Xs4L6RQ,30,40," ""/m/09x0r""",,,,,,,,,,
yFOCT0U_bKg,80,90," ""/m/04rlf""",,,,,,,,,,
yFOObzG9zCc,0,10," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFOXz_K4fkU,30,40," ""/m/015p6""",,,,,,,,,,
yFOb7dYSQco,30,40," ""/m/09x0r""",,,,,,,,,,
yFOknHuD-HQ,350,360," ""/m/09x0r""",,,,,,,,,,
yFP9cq5HvLM,30,40," ""/m/04rlf",/m/07qsvvw,"/m/09x0r""",,,,,,,,
yFPIlc5gitg,30,40," ""/m/09x0r""",,,,,,,,,,
yFPSTLyudN0,100,110," ""/m/026t6",/m/02hnl,/m/02k_mr,/m/04rlf,"/m/04szw""",,,,,,
yFPXkTiha3I,0,10," ""/m/028v0c","/m/04rlf""",,,,,,,,,
yFPgKlODYLs,30,40," ""/m/04rlf","/m/06ncr""",,,,,,,,,
yFPgoHIPq24,30,40," ""/m/04rlf",/m/09x0r,"/t/dd00128""",,,,,,,,
yFQ0Yw4P6ws,30,40," ""/m/09x0r""",,,,,,,,,,
yFQ8wKYU5Ok,270,280," ""/m/02p3nc","/m/09x0r""",,,,,,,,,
yFQ9O_3oVOs,30,40," ""/m/09x0r""",,,,,,,,,,
yFQYlYstC18,10,20," ""/m/09x0r""",,,,,,,,,,
yFQrmkSQeag,30,40," ""/m/07r5v4s","/m/09x0r""",,,,,,,,,
yFRI6f5ebIk,12,22," ""/m/09x0r""",,,,,,,,,,
yFRKxCEWKno,30,40," ""/m/06h7j","/m/09x0r""",,,,,,,,,
yFRL8BzkqbQ,90,100," ""/m/015p6","/m/068hy""",,,,,,,,,
yFRLZY-_QJc,50,60," ""/m/01d3sd""",,,,,,,,,,
yFRRQndz5Sw,190,200," ""/m/02dgv",/m/04rlf,/m/07rrh0c,"/m/09x0r""",,,,,,,
yFRcYiXiN9Y,190,200," ""/m/09x0r","/t/dd00125""",,,,,,,,,
yFRpiYAj2gc,30,40," ""/m/09x0r""",,,,,,,,,,
yFRvqqORC98,21,31," ""/m/01yrx",/m/04rlf,/m/068hy,/m/07qrkrw,/m/09x0r,"/m/0jbk""",,,,,
yFS9xTacCdE,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFSK-weo7JE,40,50," ""/m/06hps""",,,,,,,,,,
yFSOzS8bKjw,70,80," ""/m/028v0c""",,,,,,,,,,
yFSaIjoXMkE,190,200," ""/m/09x0r","/t/dd00129""",,,,,,,,,
yFSk_txfGyQ,0,10," ""/m/015y_n""",,,,,,,,,,
yFSxPtM7h_I,40,50," ""/m/09x0r""",,,,,,,,,,
yFTEyj_vMD8,160,170," ""/m/01v1d8","/m/04rlf""",,,,,,,,,
yFTMo2fwONA,30,40," ""/m/04rlf""",,,,,,,,,,
yFTOLNAs9sw,5,15," ""/m/07qjznl",/m/07qjznt,"/m/09x0r""",,,,,,,,
yFTc5dRs8E0,0,10," ""/m/04rlf""",,,,,,,,,,
yFU2f-fMbgQ,30,40," ""/m/09x0r""",,,,,,,,,,
yFULF-ot_yg,20,30," ""/m/09x0r""",,,,,,,,,,
yFUgrBoLhlE,30,40," ""/m/09x0r""",,,,,,,,,,
yFUisjxc6ss,30,40," ""/m/04rlf""",,,,,,,,,,
yFUoywOpav0,30,40," ""/m/04rlf""",,,,,,,,,,
yFUy1tp5ffA,150,160," ""/m/04rlf",/m/04szw,/m/05148p4,"/m/05r5c""",,,,,,,
yFUyztrKUq0,30,40," ""/m/04rlf",/m/04szw,"/m/07y_7""",,,,,,,,
yFV7WTjNHdE,0,10," ""/m/07yv9""",,,,,,,,,,
yFVDA73Glmc,30,40," ""/m/04rlf""",,,,,,,,,,
yFVwebS2z2A,200,210," ""/m/09x0r""",,,,,,,,,,
yFVyHLlV1u4,90,100," ""/m/02bxd",/m/04rlf,"/m/09x0r""",,,,,,,,
yFW-IcUjpro,400,410," ""/m/09x0r","/t/dd00128""",,,,,,,,,
yFW1p0PyCZ4,30,40," ""/m/07y_7","/m/0l14_3""",,,,,,,,,
yFWAflXwUU0,390,400," ""/m/09x0r""",,,,,,,,,,
yFWKsTp8aeE,30,40," ""/m/09x0r""",,,,,,,,,,
yFWkoKOdWqQ,0,10," ""/m/02rr_","/m/04rlf""",,,,,,,,,
yFWsoZBYZ9A,170,180," ""/m/09x0r""",,,,,,,,,,
yFX5RztG5e0,90,100," ""/m/04rlf""",,,,,,,,,,
yFXLIbw9yM4,210,220," ""/m/02lkt","/m/04rlf""",,,,,,,,,
yFXOmi4B1Hg,30,40," ""/m/015p6""",,,,,,,,,,
yFXgwoWZC-w,30,40," ""/m/04rlf","/m/0m0jc""",,,,,,,,,
yFY6jFtkStQ,0,10," ""/m/05tny_",/m/09x0r,/m/0bt9lr,"/m/0jbk""",,,,,,,
yFYPj0Fter4,70,80," ""/m/0d8_n""",,,,,,,,,,
yFYdscf5-bs,30,40," ""/m/09x0r""",,,,,,,,,,
yFYrdieKWZ0,120,130," ""/m/015lz1""",,,,,,,,,,
yFYzKO-6t_0,120,130," ""/m/04rlf""",,,,,,,,,,
yFZ3pCMCV78,50,60," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFZ5fKVMayM,20,30," ""/m/04rlf","/m/05r5c""",,,,,,,,,
yFZAyhR3bpI,26,36," ""/m/01m4t""",,,,,,,,,,
yFZFyt5Yf64,40,50," ""/m/015lz1",/m/04rlf,"/m/05pd6""",,,,,,,,
yFZIrvzJFsQ,30,40," ""/m/07rjwbb""",,,,,,,,,,
yFZKsnfvP6o,30,40," ""/m/09x0r""",,,,,,,,,,
yF_Pycy5_HQ,30,40," ""/m/09x0r""",,,,,,,,,,
yF_gF6qPMeQ,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFa4P28gdAA,30,40," ""/m/0hsrw""",,,,,,,,,,
yFa8nMpwpUk,180,190," ""/m/04rlf","/m/05rwpb""",,,,,,,,,
yFaCYEXPwEM,110,120," ""/m/0342h",/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/09x0r,"/m/0fx80y""",,,,
yFaNPtyVzAc,210,220," ""/m/06hck5",/m/06wzb,"/m/07rjwbb""",,,,,,,,
yFaNYcNAjbI,30,40," ""/m/05pd6""",,,,,,,,,,
yFaRBZoIA-w,30,40," ""/m/09x0r""",,,,,,,,,,
yFaRqXqiiCc,300,310," ""/m/09x0r""",,,,,,,,,,
yFaoAbutDMY,30,40," ""/m/09x0r","/t/dd00125""",,,,,,,,,
yFaqnishUb0,30,40," ""/m/09x0r""",,,,,,,,,,
yFau1vHo-aI,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFayvSEL33A,30,40," ""/m/04rlf""",,,,,,,,,,
yFazbCV3sA4,70,80," ""/m/0c1dj""",,,,,,,,,,
yFb6iYsCbgE,80,90," ""/m/04rlf",/m/04szw,/m/06by7,/m/0l14md,"/m/0l14qv""",,,,,,
yFbE9wMW2-4,90,100," ""/m/09x0r","/t/dd00129""",,,,,,,,,
yFbKBaxYZKo,150,160," ""/m/015lz1",/m/016cjb,/m/02mscn,/m/04rlf,"/m/0l14jd""",,,,,,
yFbNX9LNI5s,30,40," ""/m/09x0r","/t/dd00128""",,,,,,,,,
yFbeAH19_tc,30,40," ""/m/04rlf","/m/07qcpgn""",,,,,,,,,
yFbiGqEJt5Q,280,290," ""/m/04rlf",/m/09x0r,"/m/0y4f8""",,,,,,,,
yFbzODgNa7s,30,40," ""/m/09x0r","/m/0jbk""",,,,,,,,,
yFc6oKvS40A,30,40," ""/m/04rlf""",,,,,,,,,,
yFcEpKHNxAc,30,40," ""/m/09x0r""",,,,,,,,,,
yFcGTfDVI7k,30,40," ""/m/04rlf""",,,,,,,,,,
yFc_Il4w0-Y,30,40," ""/m/09x0r""",,,,,,,,,,
yFd5M5RTChQ,30,40," ""/m/04rlf""",,,,,,,,,,
yFdCjZah8_Q,0,10," ""/m/06bz3""",,,,,,,,,,
yFdGOkTno8g,40,50," ""/m/09x0r","/t/dd00129""",,,,,,,,,
yFdjNWHUdaA,30,40," ""/m/09x0r""",,,,,,,,,,
yFdox5g7hdA,30,40," ""/m/09x0r""",,,,,,,,,,
yFe4yhgh6Qk,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFeOlpgltUM,30,40," ""/m/09x0r""",,,,,,,,,,
yFeQwInhjJo,60,70," ""/m/025rv6n",/m/07qn5dc,/m/07st89h,"/m/09b5t""",,,,,,,
yFeZXg2dOSM,30,40," ""/m/07jdr",/m/07yv9,/m/09x0r,"/t/dd00128""",,,,,,,
yFesxaxeqw0,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFf1I0mATCY,30,40," ""/m/015p6",/m/09x0r,"/m/0h0rv""",,,,,,,,
yFfA9yEmTzc,30,40," ""/m/0342h",/m/04rlf,/m/04szw,"/m/0fx80y""",,,,,,,
yFfM-D0wzjg,30,40," ""/m/09x0r""",,,,,,,,,,
yFfRalpYFCg,560,570," ""/m/04rlf",/m/09x0r,"/t/dd00125""",,,,,,,,
yFfcBEy1nmc,30,40," ""/m/04rlf",/m/053hz1,"/m/09x0r""",,,,,,,,
